idConta;descricao;idGrupo;dataInclusao;usuarioInclusao;dataAlteracao;usuarioAlteracao
1;ENTRADAS - VENDAS - ATIVO;Receita;2015-03-26 12:13:05.843;ADPTA;NULL;NULL
2;DESPESAS ADMINISTRATIVAS;Despesas;2015-03-26 12:13:05.843;ADPTA;NULL;NULL
3;DESPESAS FINANCEIRAS;Despesas;2015-03-26 12:13:05.843;ADPTA;NULL;NULL
4;DESPESAS COM ASSESSORIA;Despesas;2015-03-26 12:13:05.843;ADPTA;NULL;NULL
5;DESPESAS COM MARKETING;Despesas;2015-03-26 12:13:05.843;ADPTA;NULL;NULL
6;DESPESAS COM MANUTENCAO;Despesas;2015-03-26 12:13:05.843;ADPTA;NULL;NULL
7;INFORMATICA;Despesas;2015-03-26 12:13:05.843;ADPTA;NULL;NULL
8;DESPESA PESSOAL - ADMINISTRACAO;Despesas;2015-03-26 12:13:05.843;ADPTA;NULL;NULL
9;DESPESA PESSOAL - VENDAS;Despesas;2015-03-26 12:13:05.843;ADPTA;NULL;NULL
10;DESPESAS COM PESSOAL - ENTREGA;Despesas;2015-03-26 12:13:05.843;ADPTA;NULL;NULL
11;DESPESAS COM FRETES;Despesas;2015-03-26 12:13:05.843;ADPTA;NULL;NULL
12;DESPESAS COM VIAGENS;Despesas;2015-03-26 12:13:05.843;ADPTA;NULL;NULL
13;DESPESAS COM VEICULOS;Despesas;2015-03-26 12:13:05.843;ADPTA;NULL;NULL
14;DESPESAS TAXAS E CONTRIBUICOES;Despesas;2015-03-26 12:13:05.843;ADPTA;NULL;NULL
15;DESPESAS EVENTUAIS;Despesas;2015-03-26 12:13:05.843;ADPTA;NULL;NULL
16;DESPESAS COM SOCIOS;Despesas;2015-03-26 12:13:05.843;ADPTA;NULL;NULL
17;DESPESAS COM TREINAMENTOS;Despesas;2015-03-26 12:13:05.843;ADPTA;NULL;NULL
18;DESPESAS COM IMPOSTOS;Despesas;2015-03-26 12:13:05.843;ADPTA;NULL;NULL
19;DESPESAS INVEST. PATRIMONIO;Despesas;2015-03-26 12:13:05.843;ADPTA;NULL;NULL
20;DESPESA EMPRESTIMO CONTRATADO;Despesas;2015-03-26 12:13:05.843;ADPTA;NULL;NULL
21;DESPESAS EMPRESTIMOS OUTROS;Despesas;2015-03-26 12:13:05.843;ADPTA;NULL;NULL
22;DESPESAS IMPOSTOS VENDAS;Despesas;2015-03-26 12:13:05.843;ADPTA;NULL;NULL
23;DESPESAS COM COMPRA;Despesas;2015-03-26 12:13:05.843;ADPTA;NULL;NULL
24;AJUSTES;Receita;2015-03-26 12:13:05.843;ADPTA;NULL;NULL
